Id;Participante;EquipoL;GanaL;Empata;GanaV;EquipoV
1;Mariana;Argentina;X;;;Arabia Saudita
1;Mariana;Polonia;;X;;México
1;Mariana;Argentina;X;;;México
1;Mariana;Arabia Saudita;;;X;Polonia
1;Mariana;Polonia;;;X;Argentina
1;Mariana;Arabia Saudita;;;X;México
2;Pedro;Argentina;X;;;Arabia Saudita
2;Pedro;Polonia;;;X;México
2;Pedro;Argentina;X;;;México
2;Pedro;Arabia Saudita;;X;;Polonia
2;Pedro;Polonia;;;X;Argentina
2;Pedro;Arabia Saudita;;;X;México
2;Pedro;Dinamarca;;;X;Tunez
2;Pedro;Francia;X;;;Dinamarca
2;Pedro;Tunez;;;X;Australia
2;Pedro;Tunez;X;;;Francia
2;Pedro;Australia;;X;;Dinamarca
2;Pedro;Francia;X;;;Australia
3;Ricardo;Marruecos;X;;;Croacia
3;Ricardo;Bélgica;X;;;Canadá
3;Ricardo;Bélgica;;;X;Marruecos
3;Ricardo;Croacia;X;;;Canadá
3;Ricardo;Croacia;;X;;Bélgica
3;Ricardo;Canadá;;;X;Marruecos